ID,VALOR_CREDITO,SEXO,EDUCACAO,ESTADO_CIVIL,IDADE,FATURA_Semtembro,FATURA_Agosto,FATURA_Julho,FATURA_Junho,FATURA_Maio,FATURA_Abril,INADIMPLENTE
1,20000,Feminino,Superior,Casado(a),24,3913,3102,689,0,0,0,Sim
2,120000,Feminino,Superior,Solteiro(a),26,2682,1725,2682,3272,3455,3261,Sim
3,90000,Feminino,Superior,Solteiro(a),34,29239,14027,13559,14331,14948,15549,Não
4,50000,Feminino,Superior,Casado(a),37,46990,48233,49291,28314,28959,29547,Não
5,50000,Masculino,Superior,Casado(a),57,8617,5670,35835,20940,19146,19131,Não
6,50000,Masculino,Pós-Graduação,Solteiro(a),37,64400,57069,57608,19394,19619,20024,Não
7,500000,Masculino,Pós-Graduação,Solteiro(a),29,367965,412023,445007,542653,483003,473944,Não
8,100000,Feminino,Superior,Solteiro(a),23,11876,380,601,221,-159,567,Não
9,140000,Feminino,Ensino Médio,Casado(a),28,11285,14096,12108,12211,11793,3719,Não
10,20000,Masculino,Ensino Médio,Solteiro(a),35,0,0,0,0,13007,13912,Não
11,200000,Feminino,Ensino Médio,Solteiro(a),34,11073,9787,5535,2513,1828,3731,Não
12,260000,Feminino,Pós-Graduação,Solteiro(a),51,12261,21670,9966,8517,22287,13668,Não
13,630000,Feminino,Superior,Solteiro(a),41,12137,6500,6500,6500,6500,2870,Não
14,70000,Masculino,Superior,Solteiro(a),30,65802,67369,65701,66782,36137,36894,Sim
15,250000,Masculino,Pós-Graduação,Solteiro(a),29,70887,67060,63561,59696,56875,55512,Não
16,50000,Feminino,Ensino Médio,Outros,23,50614,29173,28116,28771,29531,30211,Não
17,20000,Masculino,Pós-Graduação,Solteiro(a),24,15376,18010,17428,18338,17905,19104,Sim
18,320000,Masculino,Pós-Graduação,Casado(a),49,253286,246536,194663,70074,5856,195599,Não
19,360000,Feminino,Pós-Graduação,Casado(a),49,0,0,0,0,0,0,Não
20,180000,Feminino,Pós-Graduação,Solteiro(a),29,0,0,0,0,0,0,Não
21,130000,Feminino,Ensino Médio,Solteiro(a),39,38358,27688,24489,20616,11802,930,Não
22,120000,Feminino,Superior,Casado(a),39,316,316,316,0,632,316,Sim
23,70000,Feminino,Superior,Solteiro(a),26,41087,42445,45020,44006,46905,46012,Sim
24,450000,Feminino,Pós-Graduação,Casado(a),40,5512,19420,1473,560,0,0,Sim
25,90000,Masculino,Pós-Graduação,Solteiro(a),23,4744,7070,0,5398,6360,8292,Não
26,50000,Masculino,Ensino Médio,Solteiro(a),23,47620,41810,36023,28967,29829,30046,Não
27,60000,Masculino,Pós-Graduação,Solteiro(a),27,-109,-425,259,-57,127,-189,Sim
28,50000,Feminino,Ensino Médio,Solteiro(a),30,22541,16138,17163,17878,18931,19617,Não
29,50000,Feminino,Ensino Médio,Casado(a),47,650,3415,3416,2040,30430,257,Não
30,50000,Masculino,Pós-Graduação,Solteiro(a),26,15329,16575,17496,17907,18375,11400,Não
31,230000,Feminino,Pós-Graduação,Solteiro(a),27,16646,17265,13266,15339,14307,36923,Não
32,50000,Masculino,Superior,Solteiro(a),33,30518,29618,22102,22734,23217,23680,Sim
33,100000,Masculino,Pós-Graduação,Solteiro(a),32,93036,84071,82880,80958,78703,75589,Não
34,500000,Feminino,Superior,Casado(a),54,10929,4152,22722,7521,71439,8981,Não
35,500000,Masculino,Pós-Graduação,Casado(a),58,13709,5006,31130,3180,0,5293,Não
36,160000,Masculino,Pós-Graduação,Solteiro(a),30,30265,-131,-527,-923,-1488,-1884,Não
37,280000,Masculino,Superior,Casado(a),40,186503,181328,180422,170410,173901,177413,Não
38,60000,Feminino,Superior,Solteiro(a),22,15054,9806,11068,6026,-28335,18660,Não
39,50000,Masculino,Pós-Graduação,Solteiro(a),25,0,780,0,0,0,0,Sim
40,280000,Masculino,Pós-Graduação,Solteiro(a),31,498,9075,4641,9976,17976,9477,Não
41,360000,Masculino,Pós-Graduação,Solteiro(a),33,218668,221296,206895,628699,195969,179224,Não
42,70000,Feminino,Pós-Graduação,Solteiro(a),25,67521,66999,63949,63699,64718,65970,Não
43,10000,Masculino,Superior,Solteiro(a),22,1877,3184,6003,3576,3670,4451,Não
44,140000,Feminino,Superior,Casado(a),37,59504,61544,62925,64280,67079,69802,Não
45,40000,Feminino,Pós-Graduação,Solteiro(a),30,18927,21295,25921,25209,26636,29197,Não
46,210000,Masculino,Pós-Graduação,Solteiro(a),29,0,0,0,0,0,0,Sim
47,20000,Feminino,Pós-Graduação,Solteiro(a),22,14028,16484,15800,16341,16675,0,Sim
48,150000,Feminino,,Solteiro(a),46,4463,3034,1170,1170,0,0,Sim
49,380000,Masculino,Superior,Solteiro(a),32,22401,21540,15134,32018,11849,11873,Não
50,20000,Masculino,Pós-Graduação,Solteiro(a),24,17447,18479,19476,19865,20480,20063,Não
51,70000,Masculino,Ensino Médio,Solteiro(a),42,37042,36171,38355,39423,38659,39362,Sim
52,100000,Feminino,Ensino Médio,Outros,43,61559,51163,43824,39619,35762,33258,Não
53,310000,Feminino,Superior,Casado(a),49,13465,7867,7600,11185,3544,464,Não
54,180000,Feminino,Pós-Graduação,Solteiro(a),25,41402,41742,42758,43510,44420,45319,Não
55,150000,Feminino,Pós-Graduação,Solteiro(a),29,46224,34993,31434,26518,21042,16540,Não
56,500000,Feminino,Pós-Graduação,Casado(a),45,1905,3640,162,0,151,2530,Não
57,180000,Feminino,Ensino Médio,Casado(a),34,16386,15793,8441,7142,-679,8321,Não
58,180000,Feminino,Superior,Casado(a),34,175886,173440,172308,168608,132202,129918,Não
59,200000,Feminino,Pós-Graduação,Solteiro(a),34,1587,1098,782,1166,700,1414,Não
60,400000,Feminino,Superior,Casado(a),29,400134,398857,404205,360199,356656,364089,Não
61,500000,Feminino,Ensino Médio,Casado(a),28,22848,23638,18878,14937,13827,15571,Sim
62,70000,Masculino,Superior,Casado(a),39,70800,72060,69938,16518,14096,830,Não
63,50000,Masculino,Pós-Graduação,Solteiro(a),29,24987,24300,26591,25865,27667,28264,Sim
64,50000,Feminino,Superior,Casado(a),46,28718,29166,0,0,0,0,Sim
65,130000,Feminino,Superior,Casado(a),51,99,0,0,0,2353,0,Não
66,200000,Masculino,Pós-Graduação,Casado(a),57,152519,148751,144076,8174,8198,7918,Sim
67,10000,Masculino,Superior,Casado(a),56,2097,4193,3978,4062,4196,4326,Sim
68,210000,Feminino,Pós-Graduação,Solteiro(a),30,300,300,1159,2280,300,4250,Não
69,130000,Feminino,Ensino Médio,Solteiro(a),29,-190,-9850,-9850,10311,10161,7319,Não
70,20000,Masculino,,Solteiro(a),22,18565,17204,17285,18085,11205,5982,Não
71,80000,Masculino,Pós-Graduação,Solteiro(a),31,780,0,390,390,390,390,Não
72,320000,Masculino,Superior,Solteiro(a),29,58267,59246,60184,58622,62307,63526,Sim
73,200000,Feminino,Superior,Casado(a),32,9076,5787,-684,5247,3848,3151,Não
74,290000,Feminino,Pós-Graduação,Solteiro(a),37,0,0,3155,0,2359,0,Não
75,340000,Masculino,Pós-Graduação,Solteiro(a),32,3048,5550,23337,4291,80153,25820,Não
76,20000,Masculino,Superior,Solteiro(a),24,14619,17216,16642,16976,17332,18543,Não
